occgrpcd,occgrpnm2,N
11-0000,Management,1
13-0000,Business and financial,1
15-0000,Computer and mathematical,1
17-0000,Architecture and engineering,1
19-0000,"Life, physical, social science",1
21-0000,Community and social service,1
23-0000,Legal,1
25-0000,"Education, training, library",1
27-0000,"Arts and entertainment",1
29-0000,Healthcare practitioners,1
31-0000,Healthcare support,1
33-0000,Protective service,1
35-0000,Food preparation and serving,1
37-0000,Building and grounds maintenance,1
39-0000,Personal care and service,1
41-0000,Sales and related,1
43-0000,Administrative support,1
45-0000,"Farming, fishing, forestry",1
47-0000,Construction and extraction,1
49-0000,"Installation, maintenance, repair",1
51-0000,Production,1
53-0000,Transportation and material moving,1
