soccode,soctitle,freq,socagg
11-1011,Chief executives,24609,Chief executives
11-1021,General and operations managers,41350,Managers
11-1031,Legislators,262,Legislators
11-2011,Advertising and promotions managers,1668,Advertising and promotions workers
11-2021,Marketing managers,11032,Marketing workers
11-2022,Sales managers,4560,Sales workers
11-2031,Public relations and fundraising managers,2726,Public relations and fundraising workers
11-3011,Administrative services managers,677,
11-3021,Computer and information systems managers,5878,Computer and information systems workers
11-3031,Financial managers,5000,Finance workers
11-3051,Industrial production managers,1112,Production workers
11-3061,Purchasing managers,1255,
11-3071,"Transportation, storage, and distribution managers",2030,
11-3111,Compensation and benefits managers,301,
11-3121,Human resources managers,2276,Human resources workers
11-3131,Training and development managers,387,
11-9013,"Farmers, ranchers, and other agricultural managers",3178,Farmers and ranchers
11-9021,Construction managers,4114,Construction workers
11-9031,"Education administrators, preschool and childcare center/program",186,
11-9032,"Education administrators, elementary and secondary school",2400,School administrators
11-9033,"Education administrators, postsecondary",3646,College administrators
11-9039,"Education administrators, all other",135,
11-9041,Architectural and engineering managers,1658,Engineers
11-9051,Food service managers,1569,Restaurant managers
11-9061,Funeral service managers,11,
11-9071,Gaming managers,26,
11-9081,Lodging managers,726,
11-9111,Medical and health services managers,1899,
11-9121,Natural sciences managers,1286,
11-9131,Postmasters and mail superintendents,98,
11-9141,"Property, real estate, and community association managers",6187,
11-9151,Social and community service managers,291,Community service managers
11-9161,Emergency management directors,62,
11-9199,"Managers, all other",2565,Managers
13-1011,"Agents and business managers of artists, performers, and athletes",918,Booking and talent agents
13-1021,"Buyers and purchasing agents, farm products",31,Buyers and purchasing agents
13-1022,"Wholesale and retail buyers, except farm products",2245,Buyers and purchasing agents
13-1023,"Purchasing agents, except wholesale, retail, and farm products",256,Buyers and purchasing agents
13-1031,"Claims adjusters, examiners, and investigators",2412,
13-1032,"Insurance appraisers, auto damage",37,
13-1041,Compliance officers,1417,
13-1051,Cost estimators,776,
13-1071,Human resources specialists,10236,Human resources workers
13-1075,Labor relations specialists,2128,Human resources workers
13-1081,Logisticians,774,
13-1111,Management analysts,5781,
13-1121,"Meeting, convention, and event planners",2099,
13-1131,Fundraisers,4558,Public relations and fundraising workers
13-1141,"Compensation, benefits, and job analysis specialists",327,
13-1151,Training and development specialists,2375,
13-1161,Market research analysts and marketing specialists,4282,Marketing workers
13-1199,"Business operations specialists, all other",912,
