soccode,soctitle,onetcode,onettitle,occupation,freq,source
11-1011,Chief executives,11-1011.00,Chief Executives,CEO,7395,DMTF
11-1011,Chief executives,11-1011.00,Chief Executives,EXECUTIVE DIRECTOR,4189,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,PRESIDENT,3193,ONET-DM
11-1011,Chief executives,11-1011.00,Chief Executives,VP,1707,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,VICE PRESIDENT,1616,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,CFO,1500,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,COO,1242,DMTF
11-1011,Chief executives,11-1011.00,Chief Executives,CTO,733,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,FOREIGN SERVICE OFFICER,403,ONET-DM
11-1011,Chief executives,11-1011.00,Chief Executives,SVP,390,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,NONPROFIT DIRECTOR,228,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,NONPROFIT MANAGER,198,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,CHIEF OPERATING OFFICER,182,DMTF
11-1011,Chief executives,11-1011.00,Chief Executives,CHIEF OPERATING OFFICER,182,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,CHAIRMAN,167,ONET-DM
11-1011,Chief executives,11-1011.00,Chief Executives,BUSINESS EXECUTIVE,148,ONET-DM
11-1011,Chief executives,11-1011.00,Chief Executives,EVP,142,ONET-DM
11-1011,Chief executives,11-1011.00,Chief Executives,MAYOR,131,DMTF
11-1011,Chief executives,11-1011.00,Chief Executives,SENIOR VICE PRESIDENT,130,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,PRESIDENT/CEO,127,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,COUNTY COMMISSIONER,59,DMTF
11-1011,Chief executives,11-1011.00,Chief Executives,CHIEF EXECUTIVE OFFICER,49,DMTF
11-1011,Chief executives,11-1011.00,Chief Executives,EXECUTIVE OFFICER,46,ONET-DM
11-1011,Chief executives,11-1011.00,Chief Executives,BOOK PUBLISHER,42,ONET-DM
11-1011,Chief executives,11-1011.00,Chief Executives,MEDIA EXECUTIVE,37,ONET-DM
11-1011,Chief executives,11-1011.00,Chief Executives,CORPORATE EXECUTIVE,27,ONET-DM
11-1011,Chief executives,11-1011.00,Chief Executives,CORPORATE OFFICER,26,ONET-DM
11-1011,Chief executives,11-1011.00,Chief Executives,CITY MANAGER,25,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,FOUNDATION DIRECTOR,24,ONET-DM
11-1011,Chief executives,11-1011.00,Chief Executives,COUNTY SUPERVISOR,21,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,CDO,20,ONET-DM
11-1011,Chief executives,11-1011.00,Chief Executives,MUSIC EXECUTIVE,15,ONET-DM
11-1011,Chief executives,11-1011.00,Chief Executives,VICE CHANCELLOR,14,ONET-DM
11-1011,Chief executives,11-1011.00,Chief Executives,CITY ADMINISTRATOR,10,ONET-DM
11-1011,Chief executives,11-1011.00,Chief Executives,CHIEF NURSING OFFICER,10,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,TAX COMMISSIONER,5,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,ECONOMIC DEVELOPMENT COORDINATOR,4,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,TOWNSHIP SUPERVISOR,3,ONET-DM
11-1011,Chief executives,11-1011.00,Chief Executives,COUNTY ADMINISTRATOR,2,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,DEPUTY INSURANCE COMMISSIONER,2,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,EMPLOYMENT SERVICES DIRECTOR,2,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,SANITATION SUPERINTENDENT,2,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,GOVERNOR,1,DMTF
11-1011,Chief executives,11-1011.00,Chief Executives,CHIEF OPERATING OFFICER (COO),1,ONET-DM
11-1011,Chief executives,11-1011.00,Chief Executives,CORPORATION OFFICER,1,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,ELECTION ASSISTANT,1,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,HIGHWAY COMMISSIONER,1,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,INSURANCE COMMISSIONER,1,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,LABOR COMMISSIONER,1,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,PUBLIC WORKS COMMISSIONER,1,ONET-DUP
11-1011,Chief executives,11-1011.00,Chief Executives,RECREATION SUPERINTENDENT,1,ONET-DUP
11-1011,Chief executives,11-1011.03,Chief Sustainability Officers,SUSTAINABILITY COORDINATOR,49,ONET-DUP
11-1011,Chief executives,11-1011.03,Chief Sustainability Officers,SUSTAINABILITY MANAGER,48,ONET-DUP
11-1011,Chief executives,11-1011.03,Chief Sustainability Officers,SUSTAINABILITY DIRECTOR,30,ONET-DM
11-1011,Chief executives,11-1011.03,Chief Sustainability Officers,DIRECTOR OF SUSTAINABILITY,15,ONET-DUP
11-1011,Chief executives,11-1011.03,Chief Sustainability Officers,CGO,6,ONET-DUP
11-1011,Chief executives,11-1011.03,Chief Sustainability Officers,ENERGY AND SUSTAINABILITY MANAGER,3,ONET-DUP
11-1011,Chief executives,11-1011.03,Chief Sustainability Officers,ENVIRONMENT COORDINATOR,1,ONET-DUP
11-1021,General and operations managers,11-1021.00,General and Operations Managers,MANAGER,29129,ONET-DUP
11-1021,General and operations managers,11-1021.00,General and Operations Managers,OPERATIONS MANAGER,2796,DMTF
11-1021,General and operations managers,11-1021.00,General and Operations Managers,MANAGEMENT,2621,ONET-DUP
11-1021,General and operations managers,11-1021.00,General and Operations Managers,GENERAL MANAGER,2298,DMTF
11-1021,General and operations managers,11-1021.00,General and Operations Managers,ASSISTANT MANAGER,1723,ONET-DUP
11-1021,General and operations managers,11-1021.00,General and Operations Managers,BUSINESS MANAGER,1295,ONET-DUP
11-1021,General and operations managers,11-1021.00,General and Operations Managers,GM,499,ONET-DM
11-1021,General and operations managers,11-1021.00,General and Operations Managers,OPERATIONS DIRECTOR,328,ONET-DUP
11-1021,General and operations managers,11-1021.00,General and Operations Managers,REGIONAL MANAGER,298,ONET-DUP
11-1021,General and operations managers,11-1021.00,General and Operations Managers,OPERATIONS COORDINATOR,253,ONET-DUP
11-1021,General and operations managers,11-1021.00,General and Operations Managers,THEATRE MANAGER,38,ONET-DM
11-1021,General and operations managers,11-1021.00,General and Operations Managers,VENUE MANAGER,17,ONET-DUP
11-1021,General and operations managers,11-1021.00,General and Operations Managers,SHELTER DIRECTOR,13,ONET-DUP
11-1021,General and operations managers,11-1021.00,General and Operations Managers,PRINT PRODUCTION MANAGER,12,ONET-DUP
11-1021,General and operations managers,11-1021.00,General and Operations Managers,RADIO STATION MANAGER,7,DMTF
11-1021,General and operations managers,11-1021.00,General and Operations Managers,MOVIE THEATER MANAGER,7,ONET-DUP
11-1021,General and operations managers,11-1021.00,General and Operations Managers,SOLID WASTE MANAGER,5,ONET-DUP
11-1021,General and operations managers,11-1021.00,General and Operations Managers,ELECTRICAL SUPERINTENDENT,4,ONET-DUP
11-1021,General and operations managers,11-1021.00,General and Operations Managers,GENERAL SUPERINTENDENT,2,DMTF
11-1021,General and operations managers,11-1021.00,General and Operations Managers,WATER SUPERINTENDENT,2,ONET-DUP
11-1021,General and operations managers,11-1021.00,General and Operations Managers,HEAD OF VISUAL MERCHANDISING,1,ONET-DUP
11-1021,General and operations managers,11-1021.00,General and Operations Managers,SHIFT SUPERINTENDENT,1,ONET-DUP
11-1021,General and operations managers,11-1021.00,General and Operations Managers,ZOO DIRECTOR,1,ONET-DUP
11-1031,Legislators,11-1031.00,Legislators,LEGISLATOR,60,DMTF
11-1031,Legislators,11-1031.00,Legislators,CITY COUNCIL MEMBER,47,DMTF
11-1031,Legislators,11-1031.00,Legislators,COUNCIL MEMBER,40,ONET-DM
11-1031,Legislators,11-1031.00,Legislators,COUNCILMAN,33,ONET-DM
11-1031,Legislators,11-1031.00,Legislators,SENATOR,21,DMTF
11-1031,Legislators,11-1031.00,Legislators,CITY COUNCILMAN,13,ONET-DUP
11-1031,Legislators,11-1031.00,Legislators,COUNCILOR,12,DMTF
11-1031,Legislators,11-1031.00,Legislators,ALDERMAN,12,ONET-DUP
11-1031,Legislators,11-1031.00,Legislators,SELECTMAN,11,DMTF
11-1031,Legislators,11-1031.00,Legislators,ASSEMBLY MEMBER,3,ONET-DM
11-1031,Legislators,11-1031.00,Legislators,CONGRESSMAN,3,ONET-DM
11-1031,Legislators,11-1031.00,Legislators,COUNCILPERSON,3,ONET-DUP
11-1031,Legislators,11-1031.00,Legislators,U.S. REPRESENTATIVE,2,ONET-DUP
11-1031,Legislators,11-1031.00,Legislators,CONGRESSIONAL REPRESENTATIVE,1,DMTF
11-1031,Legislators,11-1031.00,Legislators,MEMBER OF CONGRESS,1,DMTF
Nov-11,Advertising and promotions managers,11-2011.00,Advertising and Promotions Managers,COMMUNICATIONS MANAGER,721,ONET-DUP
Nov-11,Advertising and promotions managers,11-2011.00,Advertising and Promotions Managers,CAMPAIGN MANAGER,357,ONET-DUP
Nov-11,Advertising and promotions managers,11-2011.00,Advertising and Promotions Managers,BRAND MANAGER,246,ONET-DUP
Nov-11,Advertising and promotions managers,11-2011.00,Advertising and Promotions Managers,MEDIA DIRECTOR,84,ONET-DM
Nov-11,Advertising and promotions managers,11-2011.00,Advertising and Promotions Managers,ADVERTISING EXECUTIVE,74,DMTF
Nov-11,Advertising and promotions managers,11-2011.00,Advertising and Promotions Managers,CAMPAIGN DIRECTOR,66,ONET-DUP
Nov-11,Advertising and promotions managers,11-2011.00,Advertising and Promotions Managers,ADVERTISING MANAGER,47,DMTF
Nov-11,Advertising and promotions managers,11-2011.00,Advertising and Promotions Managers,ADVERTISING DIRECTOR,27,DMTF
Nov-11,Advertising and promotions managers,11-2011.00,Advertising and Promotions Managers,AD MANAGER,10,ONET-DUP
Nov-11,Advertising and promotions managers,11-2011.00,Advertising and Promotions Managers,ADVERTISING ACCOUNT MANAGER,8,ONET-DUP
Nov-11,Advertising and promotions managers,11-2011.00,Advertising and Promotions Managers,PROMOTION MANAGER,6,DMTF
Nov-11,Advertising and promotions managers,11-2011.00,Advertising and Promotions Managers,PROMOTIONS DIRECTOR,5,DMTF
Nov-11,Advertising and promotions managers,11-2011.00,Advertising and Promotions Managers,ADVERTISING COORDINATOR,5,ONET-DUP
Nov-11,Advertising and promotions managers,11-2011.00,Advertising and Promotions Managers,PROMOTIONS MANAGER,5,ONET-DUP
Nov-11,Advertising and promotions managers,11-2011.00,Advertising and Promotions Managers,VP ADVERTISING,2,DMTF
Nov-11,Advertising and promotions managers,11-2011.00,Advertising and Promotions Managers,ADVERTISING OPERATIONS MANAGER,2,ONET-DUP
Nov-11,Advertising and promotions managers,11-2011.00,Advertising and Promotions Managers,ADVERTISING SALES MANAGER,1,ONET-DUP
Nov-11,Advertising and promotions managers,11-2011.00,Advertising and Promotions Managers,MARKETING AND PROMOTIONS MANAGER,1,ONET-DUP
Nov-11,Advertising and promotions managers,11-2011.00,Advertising and Promotions Managers,AD DIRECTOR,1,ONET-DUP
