YEAR	STATEICP	STATENM	HO	VEP	VEPHO
2018	0	United States	117,069,237	235,714,420	0.496657086
2018	41	Alabama	1,719,589	3,641,209	0.472257703
2018	81	Alaska	283,134	521,777	0.542634114
2018	61	Arizona	2,384,308	4,910,625	0.485540639
2018	42	Arkansas	891,509	2,171,940	0.41046668
2018	71	California	12,464,235	25,635,139	0.48621679
2018	62	Colorado	2,525,062	4,103,903	0.615283061
2018	1	Connecticut	1,406,803	2,614,176	0.538143951
2018	11	Delaware	362,592	710,434	0.510380978
2018	55	District of Columbia	224,658	529,198	0.424525414
2018	43	Florida	8,220,561	15,140,654	0.542946229
2018	44	Georgia	3,939,328	7,178,075	0.548800061
2018	82	Hawaii	390,843	1,014,363	0.38530881
2018	63	Idaho	605,131	1,224,275	0.494277021
2018	21	Illinois	4,570,842	9,017,850	0.506866049
2018	22	Indiana	2,282,565	4,923,068	0.463646856
2018	31	Iowa	1,327,638	2,312,204	0.574187226
2018	32	Kansas	1,055,566	2,072,292	0.509371266
2018	51	Kentucky	1,569,798	3,319,907	0.472843968
2018	45	Louisiana	1,460,585	3,394,257	0.430310669
2018	2	Maine	634,409	1,073,006	0.591244597
2018	52	Maryland	2,304,512	4,306,482	0.535126351
2018	3	Massachusetts	2,707,090	5,042,403	0.536865062
2018	23	Michigan	4,250,585	7,513,813	0.565702793
2018	33	Minnesota	2,596,879	4,064,389	0.638934659
2018	46	Mississippi	936,215	2,201,276	0.425305595
2018	34	Missouri	2,442,289	4,570,675	0.534338801
2018	64	Montana	504,384	821,710	0.613822395
2018	35	Nebraska	698,417	1,364,285	0.511928959
2018	65	Nevada	972,132	2,052,636	0.473601749
2018	4	New Hampshire	573,608	1,062,391	0.539921743
2018	12	New Jersey	3,169,310	6,114,344	0.518340152
2018	66	New Mexico	696,459	1,482,246	0.46986735
2018	13	New York	6,104,477	13,772,077	0.443250281
2018	47	North Carolina	3,693,104	7,577,011	0.487409085
2018	36	North Dakota	326,138	564,114	0.578142007
2018	24	Ohio	4,429,582	8,839,520	0.501111146
2018	53	Oklahoma	1,186,385	2,798,385	0.423953459
2018	72	Oregon	1,866,997	3,113,178	0.599707758
2018	14	Pennsylvania	5,012,582	9,758,386	0.513669166
2018	5	Rhode Island	376,738	793,460	0.474804023
2018	48	South Carolina	1,707,569	3,819,264	0.447093733
2018	37	South Dakota	339,214	640,417	0.529676757
2018	54	Tennessee	2,243,740	5,031,061	0.445977499
2018	49	Texas	8,371,655	18,072,155	0.463235015
2018	67	Utah	1,065,630	2,082,549	0.511695043
2018	6	Vermont	274,087	497,750	0.550651934
2018	40	Virginia	3,351,373	6,141,102	0.545728275
2018	73	Washington	3,086,168	5,316,196	0.580521862
2018	56	West Virginia	586,034	1,405,262	0.417028284
2018	25	Wisconsin	2,673,308	4,337,051	0.616388417
2018	68	Wyoming	203,420	421,722	0.482355675
2016	0	United States	136,700,729	230,931,921	0.591952504
2016	41	Alabama	2,123,372	3,609,447	0.588281806
2016	81	Alaska	318,608	522,679	0.609567249
2016	61	Arizona	2,604,657	4,740,310	0.54946976
2016	42	Arkansas	1,130,635	2,140,097	0.528310165
2016	71	California	14,181,595	25,104,844	0.564894767
2016	62	Colorado	2,780,247	3,974,405	0.699537918
2016	1	Connecticut	1,644,920	2,582,761	0.636884327
2016	11	Delaware	443,814	691,720	0.641609322
2016	55	District of Columbia	311,268	515,248	0.604112971
2016	43	Florida	9,420,039	14,601,066	0.645161045
2016	44	Georgia	4,114,732	6,959,963	0.591200269
2016	82	Hawaii	428,937	1,012,860	0.423490907
2016	63	Idaho	690,255	1,166,706	0.591627197
2016	21	Illinois	5,536,424	8,985,443	0.616154818
2016	22	Indiana	2,734,958	4,849,937	0.563916191
2016	31	Iowa	1,566,031	2,288,536	0.684293802
2016	32	Kansas	1,184,402	2,054,025	0.576624919
2016	51	Kentucky	1,924,149	3,282,420	0.586198293
2016	45	Louisiana	2,029,032	3,384,435	0.599518679
2016	2	Maine	747,927	1,058,372	0.706676858
2016	52	Maryland	2,781,446	4,189,616	0.663890438
2016	3	Massachusetts	3,325,046	4,948,028	0.671994176
2016	23	Michigan	4,799,284	7,420,628	0.646749035
2016	33	Minnesota	2,944,813	3,973,204	0.741168337
2016	46	Mississippi	1,209,357	2,191,241	0.551905062
2016	34	Missouri	2,808,605	4,517,925	0.621658173
2016	64	Montana	497,147	804,250	0.618149829
2016	35	Nebraska	844,227	1,343,821	0.62822876
2016	65	Nevada	1,125,385	1,961,587	0.57371149
2016	4	New Hampshire	744,296	1,042,795	0.713751025
2016	12	New Jersey	3,874,046	6,013,656	0.644208116
2016	66	New Mexico	798,319	1,464,515	0.545108107
2016	13	New York	7,721,453	13,604,645	0.56756005
2016	47	North Carolina	4,741,564	7,352,501	0.64489131
2016	36	North Dakota	344,360	566,783	0.607569387
2016	24	Ohio	5,496,487	8,736,808	0.629118438
2016	53	Oklahoma	1,452,992	2,778,219	0.522994048
2016	72	Oregon	2,001,336	3,024,174	0.661779382
2016	14	Pennsylvania	6,165,478	9,691,160	0.63619608
2016	5	Rhode Island	464,144	786,012	0.59050498
2016	48	South Carolina	2,103,027	3,709,283	0.566963211
2016	37	South Dakota	370,093	631,173	0.586357465
