"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-01","0.00","0.0","0.0","23","34","18"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-02","0.00","0.0","0.0","31","39","25"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-03","0.79","0.0","0.0","38","52","33"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-04","0.01","0.1","0.0","36","44","12"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-05","0.11","0.7","0.0","11","14","4"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-06","0.08","1.4","2.0","15","19","9"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-07","0.00","0.0","1.2","7","12","-6"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-08","0.00","0.1","1.2","-1","20","-7"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-09","0.00","0.0","1.2","13","21","1"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-10","0.00","0.0","1.2","7","24","-3"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-11","0.43","0.0","1.2","27","34","21"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-12","0.19","0.0","0.0","30","31","19"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-13","0.00","0.0","0.0","18","23","8"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-14","0.00","0.0","0.0","11","21","5"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-15","0.00","0.0","0.0","23","36","13"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-16","0.00","0.0","0.0","30","42","21"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-17","0.00","0.0","0.0","36","51","27"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-18","0.01","0.0","0.0","39","44","28"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-19","0.00","0.0","0.0","33","47","23"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-20","0.00","0.0","0.0","38","50","30"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-21","0.00","0.0","0.0","35","43","30"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-22","0.00","0.0","0.0","31","33","28"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-23","0.00","0.0","0.0","29","34","24"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-24","0.00","0.0","0.0","28","39","20"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-25","0.04","0.1","0.0","33","37","20"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-26","0.00","0.0","0.0","22","26","17"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-27","0.01","0.0","0.0","25","29","20"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-28","0.00","0.0","0.0","23","34","15"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-29","0.00","0.0","0.0","34","45","30"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-30","0.01","0.1","0.0","29","31","20"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-01-31","0.13","0.6","0.0","25","36","16"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-01","0.29","1.2","1.2","31","33","27"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-02","0.01","0.4","1.2","22","27","13"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-03","0.00","0.0","0.0","23","36","16"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-04","0.07","1.0","0.0","35","42","15"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-05","0.00","0.0","1.2","16","24","5"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-06","0.00","0.0","0.0","22","37","12"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-07","0.00","0.0","0.0","38","55","28"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-08","0.00","0.0","0.0","51","57","36"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-09","0.00","0.0","0.0","33","36","26"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-10","0.00","0.0","0.0","26","36","18"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-11","0.00","0.0","0.0","31","39","25"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-12","0.00","0.4","0.0","22","27","13"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","2015-02-13","0.00","0.0","0.0","17","31","9"
