"date","TMIN","TAVG","TMAX","PRCP","TMINavg","TAVGavg","TMAXavg","PRCPavg","newpotholes","closedpotholes","potholes"
2015-06-01,"52","56","64","0.00",59.1428571428571,68.6428571428571,78.4285714285714,0.242857142857143,45,3,45
2015-06-02,"49","59","70","0.00",58.7142857142857,68.5714285714286,78.5714285714286,0.237857142857143,78,8,120
2015-06-03,"51","61","71","0.00",58.8571428571429,68.9285714285714,79.1428571428571,0.232857142857143,62,17,174
2015-06-04,"57","68","82","0.00",59.5,69.4285714285714,79.5714285714286,0.232857142857143,35,22,192
2015-06-05,"63","76","87","0.00",60,69.8571428571429,79.9285714285714,0.247857142857143,37,9,207
2015-06-06,"61","69","76","0.00",60.3571428571429,70.1428571428571,80.2142857142857,0.156428571428571,8,0,206
2015-06-07,"62","74","88","0.00",61.4285714285714,71.2142857142857,81.5714285714286,0.16,13,0,219
2015-06-08,"60","72","79","1.90",62.7142857142857,72.7142857142857,83.2857142857143,0.198571428571429,46,58,265
2015-06-09,"58","70","82","0.00",64.2857142857143,74,84.2857142857143,0.234285714285714,37,28,244
2015-06-10,"65","77","90","0.00",65.7857142857143,75.0714285714286,84.8571428571429,0.287857142857143,45,32,261
2015-06-11,"69","79","90","0.00",66.5714285714286,75.5714285714286,85.1428571428571,0.335714285714286,30,24,259
2015-06-12,"72","80","89","0.21",66.9285714285714,75.2857142857143,84.5,0.383571428571429,42,17,277
2015-06-13,"71","78","88","0.00",67.5714285714286,75.6428571428571,84.7142857142857,0.383571428571429,7,0,267
2015-06-14,"70","78","86","0.13",67.7857142857143,75.6428571428571,84.4285714285714,0.402857142857143,14,0,281
2015-06-15,"70","77","88","0.54",68.4285714285714,75.9285714285714,84.9285714285714,0.267142857142857,19,39,300
2015-06-16,"71","77","84","0.50",69.1428571428571,76.6428571428571,85,0.267142857142857,38,40,299
2015-06-17,"72","76","79","0.75",68.9285714285714,76.2857142857143,84.2857142857143,0.267142857142857,28,24,287
2015-06-18,"68","75","86","0.67",68.7142857142857,75.7857142857143,83.7857142857143,0.327857142857143,42,15,305
2015-06-19,"68","72","78","0.67",68.2857142857143,75.2857142857143,82.8571428571428,0.425,12,32,302
2015-06-20,"70","74","79","0.00",67.5,74.5,81.7142857142857,0.425,5,0,275
2015-06-21,"65","74","84","0.27",66.4285714285714,73.7142857142857,81.1428571428571,0.422142857142857,4,0,279
2015-06-22,"69","76","86","0.00",65.9285714285714,73,80.3571428571428,0.398571428571429,46,28,325
2015-06-23,"68","80","83","0.00",65.4285714285714,72.5714285714286,80.2142857142857,0.362857142857143,49,28,346
2015-06-24,"62","72","80","0.00",64.7142857142857,72.2142857142857,80.1428571428571,0.309285714285714,33,31,351
2015-06-25,"66","72","83","0.85",64.2857142857143,71.8571428571428,79.7142857142857,0.261428571428571,46,14,366
2015-06-26,"66","73","76","1.57",63.9285714285714,71.7142857142857,79.5714285714286,0.218571428571429,41,38,393
2015-06-27,"60","67","72","0.00",63.3571428571429,71.5714285714286,79.7857142857143,0.218571428571429,16,0,371
2015-06-28,"55","67","78","0.09",63.2857142857143,71.5,79.5714285714286,0.199285714285714,9,0,380
2015-06-29,"63","67","77","0.21",62.8571428571429,71.3571428571428,79.5,0.199285714285714,31,32,411
2015-06-30,"64","71","82","0.00",62.4285714285714,71,79.2142857142857,0.515714285714286,28,47,407
2015-07-01,"62","71","78","0.00",62.2142857142857,70.3571428571428,78.5,0.541428571428571,32,47,392
2015-07-02,"62","70","80","0.00",62.2142857142857,70.1428571428571,77.8571428571428,0.483571428571429,23,24,368
2015-07-03,"63","70","76","0.07",62.0714285714286,69.7857142857143,77.7857142857143,0.373571428571429,17,0,361
2015-07-04,"62","72","82","0.00",62,69.9285714285714,78.2142857142857,0.374285714285714,5,0,366
2015-07-05,"64","73","81","0.00",62.9285714285714,70.5714285714286,78.8571428571429,0.474285714285714,2,0,368
2015-07-06,"63","74","85","0.00",63.2142857142857,71.0714285714286,79.2142857142857,0.565714285714286,34,37,402
2015-07-07,"62","75","79","4.43",63.4285714285714,71.5714285714286,79.6428571428571,0.584285714285714,32,52,397
2015-07-08,"59","63","70","0.36",63.5714285714286,71.6428571428571,79.9285714285714,0.584285714285714,21,43,366
2015-07-09,"66","69","74","0.04",63.6428571428571,71.7857142857143,80.1428571428571,0.584285714285714,50,34,373
2015-07-10,"64","68","75","0.03",64,72.3571428571428,81.1428571428571,0.824285714285714,37,38,376
2015-07-11,"59","69","78","0.01",64.5,72.7142857142857,81.7857142857143,0.824285714285714,6,0,344
2015-07-12,"68","76","87","1.49",65.2142857142857,73.2857142857143,82.2142857142857,0.824285714285714,13,0,357
2015-07-13,"67","74","82","1.49",65.7142857142857,73.5714285714286,82.2857142857143,0.843571428571429,50,26,407
2015-07-14,"67","78","88","0.26",66,73.6428571428571,82.6428571428571,0.527142857142857,37,59,418
2015-07-15,"64","72","82","0.00",66,74.2857142857143,83.5714285714286,0.501428571428571,41,46,400
2015-07-16,"63","72","83","0.00",65.8571428571428,74.7142857142857,84.2857142857143,0.498571428571429,45,28,399
2015-07-17,"68","78","90","3.43",66,75.2857142857143,85,0.496428571428571,27,12,398
2015-07-18,"69","77","91","0.00",66.5714285714286,75.8571428571428,85.6428571428572,0.495714285714286,12,0,398
2015-07-19,"74","81","87","0.00",66.7857142857143,76.1428571428571,85.7142857142857,0.478571428571429,9,0,407
2015-07-20,"70","78","86","0.27",67.0714285714286,76.2857142857143,86.2142857142857,0.372857142857143,46,38,453
2015-07-21,"66","76","84","0.00",67.5714285714286,76.5,86.5,0.354285714285714,44,71,459
2015-07-22,"59","72","83","0.00",68.0714285714286,77.2142857142857,87.1428571428571,0.354285714285714,30,17,418
2015-07-23,"64","75","84","0.00",68.1428571428571,77.5,87.3571428571428,0.354285714285714,40,66,441
2015-07-24,"66","76","85","0.00",68,77.4285714285714,87.2142857142857,0.109285714285714,34,30,409
2015-07-25,"67","77","87","0.00",67.5714285714286,77.2857142857143,86.7142857142857,0.109285714285714,5,0,384
2015-07-26,"71","80","88","1.25",66.8571428571428,76.8571428571429,86.7857142857143,0.109285714285714,6,0,390
2015-07-27,"71","76","89","0.01",66.7857142857143,77,87,0.09,34,55,424
2015-07-28,"74","81","92","0.00",66.5,76.8571428571429,86.9285714285714,0.09,42,49,411
2015-07-29,"71","82","91","0.00",67,77.0714285714286,87.0714285714286,0.09,39,40,401
2015-07-30,"64","76","86","0.00",67.0714285714286,76.7142857142857,86.4285714285714,0.122142857142857,32,26,393
2015-07-31,"66","77","88","0.00",66.5714285714286,76.2857142857143,86.2857142857143,0.122142857142857,34,35,401
2015-08-01,"63","75","84","0.00",66.3571428571428,76.0714285714286,86,0.122142857142857,7,0,373
2015-08-02,"64","75","88","0.00",66.2142857142857,75.7142857142857,85.5,0.0335714285714286,12,0,385
2015-08-03,"69","80","89","0.00",66.1428571428571,75.7857142857143,85.2857142857143,0.0328571428571429,28,31,413
2015-08-04,"62","74","83","0.00",65.5714285714286,75.2857142857143,84.7857142857143,0.0328571428571429,21,64,403
2015-08-05,"66","75","85","0.00",64.6428571428571,74.5,84.0714285714286,0.0328571428571429,35,53,374
2015-08-06,"65","70","75","0.45",64.2857142857143,74.2142857142857,84,0.0328571428571429,29,31,350
2015-08-07,"59","70","83","0.00",64.2142857142857,74,83.7142857142857,0.0328571428571429,20,31,339
2015-08-08,"64","74","83","0.00",64.5,74,83.7857142857143,0.0485714285714286,9,0,317
2015-08-09,"69","75","81","0.01",64.7857142857143,74,83.5714285714286,0.0564285714285714,21,0,338
