"week","newpotholes","closedpotholes"
2015-06-01,278,59
2015-06-08,221,159
2015-06-15,148,150
2015-06-22,240,139
2015-06-29,138,150
2015-07-06,193,204
2015-07-13,221,171
2015-07-20,205,222
2015-07-27,200,205
2015-08-03,163,210
2015-08-10,138,246
2015-08-17,131,166
2015-08-24,109,134
2015-08-31,114,158
2015-09-07,91,128
2015-09-14,76,78
2015-09-21,139,123
2015-09-28,84,100
2015-10-05,72,76
2015-10-12,75,70
2015-10-19,66,62
2015-10-26,69,71
2015-11-02,120,85
2015-11-09,93,115
2015-11-16,132,103
2015-11-23,62,79
2015-11-30,136,136
2015-12-07,155,142
2015-12-14,105,126
2015-12-21,81,59
2015-12-28,149,120
2016-01-04,215,233
2016-01-11,261,108
2016-01-18,285,210
2016-01-25,370,510
2016-02-01,402,370
2016-02-08,293,215
2016-02-15,347,373
2016-02-22,600,364
2016-02-29,836,613
2016-03-07,852,714
2016-03-14,1065,953
2016-03-21,647,861
2016-03-28,715,797
2016-04-04,486,664
2016-04-11,602,926
2016-04-18,384,313
2016-04-25,312,276
2016-05-02,313,196
2016-05-09,373,393
2016-05-16,342,318
2016-05-23,269,253
2016-05-30,183,105
2016-06-06,236,267
2016-06-13,234,280
2016-06-20,187,220
2016-06-27,176,162
2016-07-04,152,154
2016-07-11,150,185
2016-07-18,156,214
2016-07-25,167,164
2016-08-01,140,151
2016-08-08,135,159
2016-08-15,153,142
2016-08-22,198,182
2016-08-29,248,216
2016-09-05,130,110
2016-09-12,192,156
2016-09-19,168,214
2016-09-26,151,144
2016-10-03,129,175
2016-10-10,97,96
2016-10-17,126,114
2016-10-24,182,166
2016-10-31,113,132
2016-11-07,70,60
2016-11-14,91,104
2016-11-21,62,57
2016-11-28,145,137
2016-12-05,111,113
2016-12-12,55,67
2016-12-19,131,109
2016-12-26,243,213
2017-01-02,224,120
2017-01-09,689,266
2017-01-16,1563,687
2017-01-23,1448,1147
2017-01-30,776,1281
2017-02-06,605,708
2017-02-13,446,872
2017-02-20,289,710
2017-02-27,268,417
2017-03-06,509,398
2017-03-13,374,317
2017-03-20,433,456
2017-03-27,562,479
2017-04-03,561,570
2017-04-10,535,353
2017-04-17,476,448
2017-04-24,468,542
2017-05-01,488,367
2017-05-08,1101,947
2017-05-15,576,865
2017-05-22,393,519
2017-05-29,314,362
2017-06-05,253,368
2017-06-12,234,260
2017-06-19,288,293
2017-06-26,225,258
2017-07-03,185,141
2017-07-10,229,219
2017-07-17,164,218
2017-07-24,155,176
2017-07-31,210,186
2017-08-07,163,193
2017-08-14,148,134
2017-08-21,126,128
2017-08-28,129,121
2017-09-04,101,135
2017-09-11,105,121
2017-09-18,108,125
2017-09-25,104,112
2017-10-02,90,86
2017-10-09,118,112
2017-10-16,113,131
2017-10-23,117,98
2017-10-30,183,168
2017-11-06,206,205
2017-11-13,115,143
2017-11-20,122,88
2017-11-27,137,205
2017-12-04,128,133
2017-12-11,122,134
2017-12-18,89,95
2017-12-25,43,48
2018-01-01,52,42
2018-01-08,260,117
2018-01-15,896,376
2018-01-22,2644,710
2018-01-29,3369,2138
2018-02-05,1848,715
2018-02-12,1965,1383
2018-02-19,3721,1257
2018-02-26,3618,3999
2018-03-05,2165,1782
2018-03-12,1424,3172
2018-03-19,1063,992
2018-03-26,1326,782
2018-04-02,1175,248
