statenm	dem	rep
Alabama	729547	1318255
Alaska	116454	163387
Arizona	1161167	1252401
Arkansas	380494	684872
California	8753788	4483810
Colorado	1338870	1202484
Connecticut	897572	673215
Delaware	235603	185127
District of Columbia	282830	12723
Florida	4504975	4617886
Georgia	1877963	2089104
Hawaii	266891	128847
Idaho	189765	409055
Illinois	3090729	2146015
Indiana	1033126	1557286
Iowa	653669	800983
Kansas	427005	671018
Kentucky	628854	1202971
Louisiana	780154	1178638
Maine	357735	335593
Maryland	1677928	943169
Massachusetts	1995196	1090893
Michigan	2268839	2279543
Minnesota	1367716	1322951
Mississippi	485131	700714
Missouri	1071068	1594511
Montana	177709	279240
Nebraska	284494	495961
Nevada	539260	512058
New Hampshire	348526	345790
New Jersey	2148278	1601933
New Mexico	385234	319667
New York	4556124	2819534
North Carolina	2189316	2362631
North Dakota	93758	216794
Ohio	2394164	2841005
Oklahoma	420375	949136
Oregon	1002106	782403
Pennsylvania	2926441	2970733
Rhode Island	252525	180543
South Carolina	855373	1155389
South Dakota	117458	227721
Tennessee	870695	1522925
Texas	3877868	4685047
Utah	310676	515231
Vermont	178573	95369
Virginia	1981473	1769443
Washington	1742718	1221747
West Virginia	188794	489371
Wisconsin	1382536	1405284
Wyoming	55973	174419
